material_id,composition,E_f,wyckoff
0ac7f92ee7225e47dbdc25f6d60a10b116b0813b,TiZn2N3,0.5085712541666672,A3BC2_oC24_63_cg_c_e:N-Ti-Zn
0a3eb2074380f4abdec94d4a6171a099c9ecb30a,TiZn2N5,0.020599596875000792,A5BC2_oC32_63_c2f_c_f:N-Ti-Zn
0a2c3a235656a97d76f731b269982f92de9b37fd,TiZnN,-0.6217663083333331,ABC_hP6_164_d_c_d:N-Ti-Zn
0a2e1f340255f62a617974d778714e5fdd28a007,TiZnN2,2.0046756125,A2BC_cF32_227_c_b_a:N-Ti-Zn
0adeaf7a9c16772b66815cce19917ef0460affe8,TiZnN3,-0.014901634999999303,A3BC_cP40_198_2b_2a_2a:N-Ti-Zn
0a74297fb11027ba2a958da5ee31980b8876e1d4,TiZnN4,1.1665261166666676,A4BC_oC24_63_fg_a_c:N-Ti-Zn
b3603cef0816d0e115adeafa4eee65c056dc7a26,Zn,0.0,A_hP2_194_c:Zn
0fd347fb29c23cad30d42852d7aa4ed906102b8a,Zr,0.0,A_hP2_194_c:Zr
0cd142efcf69ba63dc62760ecd72fb4f1e930115,Zr(ZnN)2,-0.2309529700000006,A2B2C_mC20_12_2i_2i_i:N-Zn-Zr
0c710ee221d7567cc0f1a06fba8231ae8261a181,Zr(ZnN)6,0.00016695769230778978,A6B6C_mC26_12_3i_3i_a:N-Zn-Zr
0c5264c980964b88ae8a7c2c18d5a61daff481b1,Zr(ZnN2)2,0.7521056285714289,A4B2C_hP14_186_bc_ab_b:N-Zn-Zr
0c7147c05a270b9b2744576b0bfb69c8391ee1e4,Zr(ZnN3)2,0.44643896111111125,A6B2C_hP9_162_k_c_b:N-Zn-Zr
0c429f98b79c9522a11d51fbfae484004f899422,Zr(ZnN5)2,0.478535934615385,A10B2C_mP26_11_2e4f_f_e:N-Zn-Zr
0c27147781fc9c64cbcf45acc1575a0bf8070841,Zr2Zn2N3,-0.5270690678571421,A3B2C2_mP14_14_ae_e_e:N-Zn-Zr
0c450e6f9c256e33ef452c98dd20917fb6484317,Zr2Zn3N4,-0.3812128222222215,A4B3C2_mC36_15_2f_ef_f:N-Zn-Zr
0c9cbed1e5d755a9666db36f742004c14bf780bd,Zr2ZnN5,-0.5414344906249999,A5BC2_mC32_9_5a_a_2a:N-Zn-Zr
0cd1f1670176b03cc3d61935d9a6882c9508e33a,Zr3ZnN6,-0.7395423050000005,A6BC3_mP20_11_6e_e_3e:N-Zn-Zr
0c882a0621189d18ff1350e3bed4114868663acf,Zr4ZnN5,-0.9191486925000003,A5BC4_oP20_59_a2e_a_2be:N-Zn-Zr
0c5ffa8e2b3126eba02901c37b31e8faf3b5377c,Zr6Zn4N13,-0.21249625326086985,A13B4C6_cI46_217_ag_c_d:N-Zn-Zr
0c9c74b6f48facd507c4e41d9df797a2017634e7,ZrZn2N3,0.1968950041666666,A3B2C_oC24_63_cf_2c_c:N-Zn-Zr
0c13902f8200732555ad1603e954a726d4d24d85,ZrZn3N2,-0.11572319166666656,A2B3C_oI24_72_j_ce_b:N-Zn-Zr
0c9cf664171d7e10527033cda1551694141207ed,ZrZnN2,-0.2964831375000001,A2BC_oP4_47_k_a_d:N-Zn-Zr
0c0b4fd84c8f4e075436d7ec34bfb3fad5e610be,ZrZnN3,-0.16417793499999878,A3BC_hP30_185_ab2c_ab_c:N-Zn-Zr
0c2fc1da358bcddfb4baf41b5dfd7285a13b766a,ZrZnN3,0.23257766500000088,A3BC_mC20_15_ef_c_e:N-Zn-Zr
0c5ef0e6b20d6e34ae388d640797f032a15df918,ZrZnN3,0.7506590650000007,A3BC_cP5_221_c_b_a:N-Zn-Zr
0c5e41fdc8fba8e90b48cbe4752dc2c4a2805f21,ZrZnN3,0.774344365000001,A3BC_tI20_140_bh_d_c:N-Zn-Zr
